id,area,feature,status,phase,reference,local_evidence,acceptance,verification
NET-01,Network,HTTPS and certificate-verified WSS,Partial,P1,https://www.dwservice.net/en/security.html,agent/Cargo.toml; docs/windows-0.1.2.md,Reject invalid certificates; valid login and agent connection succeed through TLS,Client TLS enabled in 0.1.2; server HTTPS/WSS and end-to-end verification pending
NET-02,Network,Session relay through server nodes,Missing,P1,https://www.dwservice.net/en/security.html,agent/src/media.rs; src/config/env.ts,With peer-to-peer traffic blocked complete screen and file sessions through an authenticated node,Pending actual-device/reference comparison
NET-03,Network,HTTP CONNECT proxy and credentials,Missing,P1,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/communication.py,agent/src/connection.rs,Block direct egress; verify login registration media and file transfer using the proxy; reject wrong credentials,Pending actual-device/reference comparison
NET-04,Network,SOCKS4 and SOCKS4A,Missing,P1,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/communication.py,agent/src/connection.rs,Test local versus proxy DNS resolution and connection cleanup on refusal,Pending actual-device/reference comparison
NET-05,Network,SOCKS5 and username/password,Missing,P1,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/communication.py,agent/src/connection.rs,Test proxy DNS credentials fragmentation and a full remote session without direct egress,Pending actual-device/reference comparison
NET-06,Network,System proxy selection and explicit direct mode,Missing,P1,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/communication.py,agent/src/config.rs,Select system or direct configuration; enumerate OS-specific support and never silently bypass explicit proxy policy,Pending actual-device/reference comparison
NET-07,Network,Disconnect recovery and heartbeat,Partial,P1,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/agent.py,agent/src/connection.rs,Unplug and restore network; reconnect without duplicate sessions or stuck input,Pending actual-device/reference comparison
NET-08,Network,Node routing and bandwidth management,Missing,P1,https://www.dwservice.net/en/security.html,src/server.ts,Route authorized sessions to a healthy node; isolate accounts and bound per-session queues,Pending actual-device/reference comparison
AGT-01,Agent,Account enrollment and installation code,Missing,P1,https://docs.dwservice.net/,src/websocket/agent-server.ts,A one-use expiring code assigns an agent to the correct owner; reject replay and wrong-account enrollment,Pending actual-device/reference comparison
AGT-02,Agent,Portable run-only session,Partial,P2,https://docs.dwservice.net/docs/site/dwservice-installation/how-do-i-run-only-the-agent/,agent/src/main.rs,Temporary access expires when stopped; no service installed; session credentials cannot be reused afterward,Pending actual-device/reference comparison
AGT-03,Agent,Native status and configuration interface,Missing,P2,https://docs.dwservice.net/,agent/src/main.rs; agent/src/config.rs,Show connection active sessions pause and settings; edits survive restart,Pending actual-device/reference comparison
AGT-04,Agent,Installed Windows service and uninstall,Missing,P2,https://docs.dwservice.net/,agent/src/startup.rs,Explicit installation starts after boot before login; uninstall removes service and revokes connectivity,Pending actual-device/reference comparison
AGT-05,Agent,Unattended access toggle,Partial,P2,https://docs.dwservice.net/docs/site/basic-definitions/unattended-access/,agent/src/trusted_access.rs; agent/src/consent.rs,Enabled access works for authorized users; disabled access requires approval; denial prevents access,Pending actual-device/reference comparison
AGT-06,Agent,Unattended operation through logout and reboot,Missing,P2,https://docs.dwservice.net/docs/site/basic-definitions/unattended-access/,agent/src/startup.rs,On an enrolled test PC reconnect after logout and reboot without requiring an interactive launcher,Pending actual-device/reference comparison
AGT-07,Agent,Pause and resume agent,Partial,P2,https://docs.dwservice.net/,agent/src/main.rs,Pause ends current sessions and prevents new ones; resume retains identity,Pending actual-device/reference comparison
AGT-08,Agent,Configuration access password,Missing,P2,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/agent.py,agent/src/config.rs,Reject unauthorized changes to enrollment proxy and unattended settings,Pending actual-device/reference comparison
AGT-09,Agent,Automatic update and reinstall,Missing,P2,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/core/agent.py,.github/workflows/build-windows-agent.yml,Verify update authenticity; survive interrupted update; retain identity; roll back failed startup,Pending actual-device/reference comparison
AGT-10,Agent,Silent installation and managed deployment,Missing,P2,https://docs.dwservice.net/,agent/src/startup.rs,An explicitly authorized deployment installs reproducibly and reports errors without enabling unrequested access,Pending actual-device/reference comparison
AGT-11,Agent,Active-session monitor and notifications,Partial,P2,https://docs.dwservice.net/,agent/src/consent.rs; agent/src/main.rs,Local user sees active access and can terminate it; notification preferences are explicit,Pending actual-device/reference comparison
AGT-12,Agent,Device rename grouping and organization,Partial,P5,https://docs.dwservice.net/,src/routes/devices.ts; dashboard/app/devices/page.tsx,Persist aliases and groups; moving a device cannot change its owner or permissions,Pending actual-device/reference comparison
SCR-01,Desktop,Screen capture and keyboard/mouse,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/media.rs; agent/src/mouse.rs; agent/src/keyboard.rs,Control a real Windows desktop; release keys and buttons on disconnect; verify permission denial,Pending actual-device/reference comparison
SCR-02,Desktop,Minimum Low Medium Maximum Auto quality,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/stream_quality.rs; agent/src/media.rs,Each selection changes encoder behavior; Auto responds to constrained bandwidth without growing latency,"Manual profiles in 0.1.2; reference quality levels, Auto and browser selector pending"
SCR-03,Desktop,Zoom percentage and fit-to-window,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,dashboard/app/devices/[deviceId]/view/page.tsx,Zoom and scroll at arbitrary percentage while clicks map to correct remote coordinates,Pending actual-device/reference comparison
SCR-04,Desktop,Fullscreen toolbar,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,dashboard/app/devices/[deviceId]/view/page.tsx,Enter and exit fullscreen with accessible controls and preserved input mapping,Pending actual-device/reference comparison
SCR-05,Desktop,Multiple monitor selection and combined layout,Missing,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/media.rs,Select displays with negative origins mixed DPI portrait orientation and hot unplug,Pending actual-device/reference comparison
SCR-06,Desktop,View-only mode,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,src/routes/sessions.ts; agent/src/media.rs,A view-only authorization cannot send effective input even through forged messages,Pending actual-device/reference comparison
SCR-07,Desktop,Clipboard copy and paste,Missing,P4,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/protocol.rs,Exchange Unicode text both directions with explicit permission and bounded payloads,Pending actual-device/reference comparison
SCR-08,Desktop,Special key actions and Ctrl+Alt+Del,Partial,P2,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/keyboard.rs,Verify documented shortcuts; use supported Windows service authorization for secure attention,Pending actual-device/reference comparison
SCR-09,Desktop,Remote audio and mute,Missing,P4,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,agent/src/media.rs,Play system audio; mute stops delivery; reconnect does not duplicate audio capture,Pending actual-device/reference comparison
SCR-10,Desktop,Connection statistics,Partial,P3,https://docs.dwservice.net/docs/site/basic-definitions/screen-application/,dashboard/app/devices/[deviceId]/view/page.tsx,Report actual received dimensions throughput FPS and route; distinguish unavailable from zero,Pending actual-device/reference comparison
SCR-11,Desktop,Adaptive screen encoding,Missing,P3,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_desktop/desktop.py,agent/src/media.rs,Measure text readability motion latency CPU and queue depth while bandwidth changes,Pending actual-device/reference comparison
FIL-01,Files,Directory and drive browsing,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs,List permitted roots including Unicode names; deny escapes through links and parent paths,Pending actual-device/reference comparison
FIL-02,Files,Upload to selected location,Partial,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs; agent/src/file_transfer_channel.rs,Upload to an authorized destination with conflict handling and cancellation,Pending actual-device/reference comparison
FIL-03,Files,Download from remote device,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer_channel.rs,Download a permitted file and verify its hash; denied paths produce no file data,Pending actual-device/reference comparison
FIL-04,Files,Create directories and rename,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs,Create and rename within allowed roots; handle existing names and OS errors,Pending actual-device/reference comparison
FIL-05,Files,Copy and move,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs,Copy and move preserve content; cancellation cannot silently destroy the source,Pending actual-device/reference comparison
FIL-06,Files,Delete files and folders,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs,Require delete permission and explicit action; report partial failures accurately,Pending actual-device/reference comparison
FIL-07,Files,File permissions,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,agent/src/file_transfer.rs,Apply supported OS permissions only with authorization; return access-denied errors,Pending actual-device/reference comparison
FIL-08,Files,Folder-scoped operation permissions,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_filesystem/filesystem.py,src/trust/trusted-access-store.ts,Independently enforce list read edit upload download and delete rights on agent and server,Pending actual-device/reference comparison
RES-01,Resources,System CPU memory disk information,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_resource/resource.py,agent/src/device.rs,Show live values on a real device with explicit capability reporting,Pending actual-device/reference comparison
RES-02,Resources,Process listing and termination,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_resource/resource.py,agent/src/protocol.rs,List processes; terminate only when authorized; handle PID reuse and protected processes,Pending actual-device/reference comparison
RES-03,Resources,Service listing start and stop,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_resource/resource.py,agent/src/protocol.rs,List services and apply authorized actions; surface insufficient privilege,Pending actual-device/reference comparison
SHL-01,Shell,Interactive terminal session,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_shell/shell.py,agent/src/protocol.rs,Real PTY or ConPTY supports resize Unicode and Ctrl+C; closing session cleans up processes,Pending actual-device/reference comparison
EDT-01,Editor,Read and save text files,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_texteditor/texteditor.py,agent/src/protocol.rs,Respect root permissions encoding and line endings; detect conflicting changes before save,Pending actual-device/reference comparison
LOG-01,Logs,Follow a remote log,Missing,P4,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_logwatch/logwatch.py,agent/src/protocol.rs,Follow appends with bounded memory; handle truncation rotation and revoked access,Pending actual-device/reference comparison
ACC-01,Accounts,Login logout and account lifecycle,Partial,P1,https://docs.dwservice.net/,src/auth/auth-service.ts; src/routes/auth.ts,Separate users; logout and password reset invalidate the intended sessions; verify recovery flow,Pending actual-device/reference comparison
ACC-02,Accounts,TOTP and recovery codes,Missing,P5,https://docs.dwservice.net/docs/site/account-management/how-to-enable-2-factor-authentication/,src/auth/auth-service.ts,Enable and verify TOTP; consume recovery codes once; test lost-device recovery,Pending actual-device/reference comparison
ACC-03,Accounts,Trusted browser devices,Missing,P5,https://docs.dwservice.net/,src/auth/auth-service.ts,Trust expires and can be revoked; distinguish browser trust from unattended agent permission,Pending actual-device/reference comparison
ACC-04,Accounts,Contacts and groups,Missing,P5,https://docs.dwservice.net/,src/routes/devices.ts,Maintain contacts and groups without cross-account information leaks,Pending actual-device/reference comparison
ACC-05,Accounts,Activity and access history,Partial,P5,https://www.dwservice.net/en/security.html,src/server.ts; agent/src/logging.rs,Persist user device action time and outcome; redact secrets; filter history by owner,Pending actual-device/reference comparison
SHR-01,Sharing,Per-application shares,Missing,P5,https://docs.dwservice.net/docs/site/agent-sharing/how-do-i-share-an-agent-with-restrictions/,src/routes/devices.ts,Share selected applications only; direct calls to other applications remain denied,Pending actual-device/reference comparison
SHR-02,Sharing,Share credentials and expiry,Missing,P5,https://docs.dwservice.net/docs/site/agent-sharing/how-do-i-share-an-agent-with-restrictions/,src/auth/auth-service.ts,Expired or revoked share cannot create or continue unauthorized access,Pending actual-device/reference comparison
SHR-03,Sharing,Read-only file and screen access,Missing,P5,https://docs.dwservice.net/docs/site/agent-sharing/how-do-i-share-an-agent-with-restrictions/,src/trust/trusted-access-store.ts,Shared view-only users cannot modify files or generate remote input,Pending actual-device/reference comparison
PLT-01,Platforms,Windows support matrix,Partial,P2,https://docs.dwservice.net/,agent/src/media.rs,Record supported versions architectures privilege levels locked desktop and headless outcomes,Pending actual-device/reference comparison
PLT-02,Platforms,Linux GUI console and desktop sessions,Missing,P6,https://docs.dwservice.net/,agent/src/media.rs,Validate installation X11 Wayland permissions service behavior and uninstall on named distributions,Pending actual-device/reference comparison
PLT-03,Platforms,macOS agent and system permissions,Missing,P6,https://docs.dwservice.net/,agent/src/media.rs,Validate screen input audio permissions installation update and removal on named OS versions,Pending actual-device/reference comparison
PLT-04,Platforms,Browser and touch interactions,Partial,P6,https://docs.dwservice.net/,dashboard/app/devices/[deviceId]/view/page.tsx,Test supported browsers mobile gestures keyboard fullscreen and clipboard limitations,Pending actual-device/reference comparison
PLT-05,Platforms,Localization,Missing,P6,https://docs.dwservice.net/,dashboard/app; agent/src/consent.rs,Inventory reference languages; verify complete strings Unicode layouts and locale switching,Pending actual-device/reference comparison
PRN-01,Reference boundary,Remote printing workflow,Missing,P4,https://docs.dwservice.net/docs/site/workarounds/%F0%9F%96%A8%EF%B8%8F-remote-printing/,agent/src/file_transfer.rs,Match documented upload/download-and-print workflow; do not claim a native printer driver,Pending actual-device/reference comparison
API-01,Discovery remaining,Public API account agent session shares,Unverified,P5,https://docs.dwservice.net/,src/routes,Inventory each documented operation and permissions before marking API parity,Pending actual-device/reference comparison
BIZ-01,Discovery remaining,Subscriptions quotas invoices and account settings,Unverified,P5,https://docs.dwservice.net/,src/auth/auth-service.ts,Audit reference account screens; do not omit hosted-product features from a complete-replica claim,Pending actual-device/reference comparison
UI-01,Discovery remaining,Every authenticated screen menu and setting,Unverified,P0,https://docs.dwservice.net/,dashboard/app,Walk reference UI with an authorized test account and record every control and platform exception,Pending actual-device/reference comparison
EXT-01,Additional requirement,Hardware encoding and high-resolution performance,Missing,P3,https://github.com/dwservice/agent/blob/0ee89fdb72ae1341516b560ef80a2cbdf26a9d2f/app_desktop/desktop.py,agent/src/media.rs,Proposed 22Pie enhancement: benchmark native 1080p and 4K; report achieved FPS and latency rather than promise a fixed result,Pending actual-device/reference comparison
EXT-02,Discovery remaining,RustDesk-only features retained from earlier request,Unverified,P0,https://docs.dwservice.net/,docs/rustdesk-migration.md,Keep recording tunneling virtual displays chat and other earlier requests visible until reference support and intended scope are reconciled,Pending actual-device/reference comparison
